2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.011,0.004,0.004,0.0,0.002,0.002,0.002,0.001,0.001,0.001
0.071,0.057,0.05,0.008,0.032,0.037,0.027,0.024,0.015,0.018
0.15,0.138,0.111,0.021,0.078,0.098,0.059,0.059,0.039,0.036
0.228,0.21,0.168,0.028,0.122,0.158,0.084,0.088,0.056,0.049
0.255,0.24,0.196,0.029,0.125,0.184,0.096,0.1,0.065,0.06
0.231,0.219,0.181,0.026,0.092,0.176,0.088,0.089,0.06,0.05
0.163,0.15,0.127,0.016,0.044,0.125,0.053,0.058,0.035,0.025
0.063,0.054,0.039,0.004,0.008,0.044,0.013,0.017,0.006,0.006
0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.016,0.0,0.0,0.001,0.011,0.002,0.005,0.004,0.0
0.101,0.133,0.006,0.007,0.018,0.083,0.035,0.085,0.037,0.008
0.201,0.257,0.025,0.022,0.051,0.182,0.074,0.189,0.078,0.024
0.275,0.347,0.047,0.034,0.088,0.253,0.104,0.259,0.105,0.044
0.292,0.371,0.06,0.035,0.117,0.269,0.107,0.263,0.109,0.056
0.259,0.33,0.057,0.03,0.127,0.24,0.091,0.221,0.09,0.053
0.178,0.228,0.037,0.018,0.104,0.169,0.058,0.146,0.057,0.034
0.071,0.088,0.01,0.004,0.043,0.073,0.017,0.046,0.017,0.008
0.002,0.002,0.0,0.0,0.001,0.002,0.0,0.001,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.001,0.003,0.001,0.013,0.021,0.004,0.018,0.005,0.003
0.059,0.015,0.072,0.013,0.085,0.128,0.051,0.148,0.038,0.038
0.123,0.038,0.167,0.032,0.164,0.247,0.11,0.285,0.084,0.083
0.175,0.062,0.23,0.051,0.206,0.322,0.156,0.35,0.121,0.112
0.187,0.074,0.261,0.054,0.208,0.329,0.175,0.364,0.13,0.11
0.157,0.067,0.243,0.042,0.169,0.276,0.152,0.323,0.111,0.084
0.099,0.039,0.155,0.026,0.104,0.173,0.096,0.236,0.073,0.049
0.034,0.009,0.048,0.005,0.035,0.058,0.028,0.099,0.027,0.012
0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.003,0.001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
